# pT_lo pT_hi sig_iso sig_incl incl_over_iso err iso_over_incl err
8.0 10.0 2350.29 2404.99 1.023274 0.018744 0.977255 0.017901
10.0 12.0 778.914 835.134 1.072177 0.033980 0.932682 0.029559
12.0 14.0 308.204 323.032 1.048113 0.012490 0.954096 0.011370
14.0 16.0 136.604 137.299 1.005086 0.018087 0.994940 0.017904
16.0 18.0 62.5961 64.3964 1.028762 0.011032 0.972042 0.010424
18.0 20.0 29.6409 30.8022 1.039176 0.016401 0.962301 0.015188
20.0 22.0 14.899 15.5736 1.045279 0.023310 0.956683 0.021334
22.0 24.0 7.94044 8.22003 1.035211 0.012086 0.965987 0.011277
24.0 26.0 4.18628 4.36589 1.042905 0.016833 0.958860 0.015476
26.0 28.0 2.30404 2.32934 1.010982 0.022070 0.989137 0.021593
28.0 32.0 0.993597 1.01758 1.024132 0.019652 0.976436 0.018737
32.0 36.0 0.309375 0.318111 1.028238 0.013239 0.972538 0.012521
36.0 45.0 0.0448966 0.0441047 0.982361 0.022027 1.017955 0.022825
