runnumber eventnumber cluster_Et cluster_nsaturated
52458 5834135 25.9133 1
53055 8453669 30.2091 1
53200 26288143 26.7753 1
53202 24647498 37.4517 1
53227 28540929 29.4477 1
53305 6567495 32.4899 1
53313 1896457 33.4102 1
47360 3791660 27.7361 1
47360 8613595 29.1136 1
53350 5869269 25.376 1
53365 1890092 39.4665 2
53365 1890092 29.1269 2
53367 6706354 33.7953 1
53370 17663499 35.4622 1
47978 962199 27.4514 1
53397 928546 32.4991 1
53397 8516788 25.0991 1
53403 10967181 26.1205 1
53403 15397686 32.0817 1
53450 15786392 29.3598 1
48001 4463263 33.646 1
47726 21276824 32.5002 2
52474 14311576 34.8193 1
52482 2808590 33.9446 1
52486 14552963 37.5289 1
53492 7899845 27.2207 1
53514 12329563 25.2347 1
53515 25463958 27.2888 1
53530 17505442 26.3429 1
48011 9995118 27.5609 1
53547 709332 39.6429 1
47363 36842159 39.0983 2
53559 2061866 29.3806 1
48073 3462666 26.0989 1
53582 19359047 25.7764 1
53616 3056693 25.3238 1
53619 1843451 26.9766 1
48079 5304873 38.0609 1
53707 5401264 38.4663 1
53710 5417543 25.2894 1
48088 6339701 25.7202 1
48089 11293847 25.9535 1
53769 11107390 25.7622 1
53782 7554907 26.4838 1
53783 2173175 26.9791 1
48099 7308675 30.0896 1
53791 23107303 25.5964 1
53828 5644542 36.2893 1
53828 5890881 31.7108 1
53829 20634644 34.5282 1
53831 8762007 27.0935 1
53832 21871099 25.7445 1
53836 1194554 28.2878 1
53854 15637076 25.7399 1
53861 1487699 37.7504 1
48177 2749831 37.7206 1
48179 3605878 26.9366 1
48185 547277 34.9052 1
48238 757847 25.3012 1
48238 4490666 37.539 2
48238 7917686 25.4971 1
48239 8038174 26.1618 1
48239 8880870 25.4088 1
52522 2268046 25.0119 1
52575 17814925 25.2679 1
48245 3606210 27.3108 1
48246 3460345 26.2129 1
47378 31072981 28.5896 1
48257 3052474 29.5016 1
48257 12036657 37.0969 1
48260 8122480 31.9523 1
48265 2098167 27.0107 1
48291 2850208 28.0445 1
48291 11663444 28.2315 1
48320 3389308 37.0422 1
48336 1133971 27.5704 1
48349 3501634 32.6232 1
48366 9825999 33.5815 1
48367 3367720 25.6396 1
48368 6997571 29.7703 1
48461 5644175 30.6192 1
48462 202307 25.1195 1
48462 2209702 25.9037 1
48463 2088480 31.3543 1
48514 5625383 33.2207 1
48518 376831 27.0881 1
48518 5594469 26.5075 1
48520 3875320 33.905 1
48522 2076070 33.6664 1
48522 5797361 31.5677 1
48522 6092505 28.9104 1
48522 12931679 27.537 1
48532 8303756 27.9279 1
48635 11101736 25.7774 1
48635 12002968 29.1818 1
48636 4208138 32.3638 1
48636 13283731 38.9963 1
48639 6866136 25.4302 1
47395 10443378 30.2828 1
48640 9243759 37.3604 1
48640 10322284 28.3961 1
48722 1847982 38.4457 1
48725 13435242 29.8198 1
48731 3219261 28.4609 1
47440 20192481 26.9425 1
47440 37368134 28.989 1
48801 9866689 26.546 1
48803 461916 25.4162 1
48807 16567179 25.678 1
48828 26268736 28.904 1
47454 2095196 25.1936 1
48839 10548494 27.0748 1
48863 3290985 34.4505 1
48863 4574670 28.2701 1
48864 3657252 34.2571 1
48864 6011830 27.0398 1
48867 5141983 28.1487 1
48894 3725014 32.3338 1
48897 6348261 30.6479 1
48903 3505315 25.9432 1
48946 5643093 34.516 1
48947 10898545 39.0444 1
48949 8464997 34.5245 1
48949 14391349 26.2181 1
47458 17886056 28.9781 1
47458 27087505 30.9155 1
48971 5776126 27.6859 1
48976 3627170 32.2373 1
48986 722768 37.693 1
48986 3004365 34.1537 1
48988 22769969 25.4632 1
48989 17832241 27.2711 1
49019 4694844 27.6072 1
49034 3892815 34.7989 1
49038 8884220 29.4197 1
52611 2641838 28.0828 1
52617 11744910 26.9139 1
52637 10404801 28.1897 1
52638 2892137 30.3881 1
47462 7531526 35.1812 1
49060 1797221 29.9931 1
49065 127386 27.2543 1
47463 12355507 28.4652 1
49067 8757941 32.2669 1
49070 9957136 25.2187 1
49098 438046 37.5371 1
49111 13010012 27.5993 1
49121 6395566 29.8868 1
49125 13980747 29.9319 1
49127 8107204 32.2743 1
49137 6947977 38.8326 1
49139 2245308 26.3142 1
47478 25845364 26.2129 1
49217 2651803 33.2857 2
47310 9233635 27.7692 1
49232 11726715 39.584 1
49248 8499448 25.9781 1
49251 735384 27.7856 1
49264 467443 28.4582 1
49264 2666050 30.2039 1
49265 8635169 28.3793 1
49266 7189708 34.6479 1
49267 808068 25.0371 1
49307 10513249 28.2281 1
49309 1274481 32.347 1
49309 3541517 30.2106 1
49312 22558444 27.3365 1
49324 11521140 32.6829 1
49331 23932465 29.3705 1
49331 30600849 26.7649 1
47491 37750312 27.5395 1
49358 6013471 36.7812 1
49358 6154871 28.4047 1
49358 7576057 34.8073 1
49359 13938167 26.1711 1
49360 2669358 29.6247 1
49360 6332303 29.8597 1
49366 8904454 39.1974 1
49366 8904454 38.9824 1
49373 8149497 26.9637 1
49373 14038248 35.9323 1
49376 6017024 26.0034 1
49376 7574278 27.6469 1
49380 12175376 37.6925 1
49381 3495839 26.7757 1
49390 488957 29.0577 1
49432 3130589 30.6942 1
49433 18171952 36.3527 2
49438 10784773 32.0383 1
49439 4270626 34.2575 1
49453 5387346 28.0894 1
49454 5870460 27.0365 1
49464 6588317 26.6874 1
49466 2435991 25.0102 1
49655 6426274 27.8827 1
49655 13664741 29.7909 1
47501 30969807 31.1855 1
49662 7153217 29.2209 1
49666 8874286 32.0674 1
49742 4143995 39.7342 1
49756 2642669 26.8923 1
52652 7871940 34.5146 1
52659 6909005 28.5305 1
52659 8972160 25.533 1
52662 412445 36.1259 1
49910 1183146 39.3543 1
49910 2450295 25.1175 1
49914 3852006 25.1062 1
49921 1200177 32.6344 1
49922 17065848 25.0598 1
49923 15907752 29.8764 1
49923 22586167 28.2527 1
49926 9007652 32.344 1
49961 7967612 38.7051 1
49962 1595944 30.6248 1
49910 1183146 39.3543 1
49910 2450295 25.1175 1
49914 3852006 25.1062 1
49921 1200177 32.6344 1
49922 17065848 25.0598 1
49923 15907752 29.8764 1
49923 22586167 28.2527 1
49926 9007652 32.344 1
49961 7967612 38.7051 1
49962 1595944 30.6248 1
50232 2365 28.9579 1
50283 3962738 31.1162 1
50283 6392597 26.2907 1
50283 18794174 27.9526 1
50377 2266963 32.6491 1
50424 12314175 26.9433 1
50466 20998208 33.8478 1
50466 23462380 28.7687 1
50491 3015558 28.5983 1
50492 7137876 36.103 1
50496 14393909 36.8404 1
50497 13556506 30.681 1
50501 2385248 36.7624 1
47516 6011006 36.3538 1
47516 29432096 28.15 1
50520 1905171 27.9261 1
47517 20422747 39.7584 1
50549 6736755 26.3891 1
50552 16575779 29.2319 1
50553 3449260 26.2741 1
50554 12569639 26.2553 1
50558 828011 27.1719 1
50562 377079 26.1327 1
50562 4153530 27.0395 1
50565 3269327 28.4685 1
50596 11262210 37.6536 1
50598 3987478 38.6903 1
50599 1648464 25.1887 1
50600 1361229 36.3824 1
50600 2456971 28.0971 1
50603 9024230 27.5812 1
50605 7838803 37.9169 3
50605 7838803 29.1686 3
50613 7801791 26.4966 1
47522 182660 32.5319 1
50660 2497223 29.4931 1
50668 12098923 26.7663 1
50668 13721283 27.1215 1
50678 1908389 30.7895 1
47540 4360971 25.9134 1
47540 8026869 28.6035 1
47540 21830534 35.6097 1
50885 4208330 38.8764 1
50886 2466875 26.3134 1
47547 2835530 27.4908 1
50973 6547954 25.13 2
50981 5850958 28.7599 1
50987 11928024 26.9872 1
50992 6500419 36.8561 1
50992 7016255 27.6901 1
51159 19742615 31.4388 1
51160 2162994 26.1454 1
51160 7516984 25.1499 1
51161 4287148 31.5374 1
47352 15765300 28.2254 1
52690 4735300 31.3518 1
47810 3434829 37.4526 1
52703 1981175 36.8271 1
52703 5281450 37.8005 2
47291 4220188 30.0693 1
47557 12061429 38.5109 1
51225 3843916 34.5163 1
51234 5941123 26.8676 1
47582 11636985 26.7566 1
51237 4794160 32.2219 1
51279 5245321 32.7463 1
51297 326113 37.3243 1
51336 218164 29.4916 1
51493 6996714 27.1754 1
51753 9249885 38.0396 1
51827 3845524 36.7358 1
51830 8768276 25.5415 1
51860 3277746 34.9535 1
51874 10023971 38.8737 1
51881 2431394 32.203 1
51924 620339 31.4765 1
52030 3716541 25.5872 1
52725 4785326 35.9586 1
52749 5952978 29.8387 1
52778 9751817 29.1327 1
52780 1816119 31.6959 1
52047 13193925 35.5428 1
47333 3005823 28.1282 1
52068 1803506 36.2343 1
52069 3650668 25.8735 1
47666 5417479 32.0903 1
52107 20928138 31.835 1
47667 1264921 28.7864 1
52287 21039040 25.8451 1
52346 864887 33.2816 1
52348 871222 32.0284 1
52366 4004577 28.1072 1
52366 25168816 26.421 1
52391 84282 37.9179 1
47722 14563996 31.2161 1
52418 1081348 26.3676 1
52421 17389551 25.0492 1
52422 2562934 32.9289 1
47723 1719466 37.2154 1
52434 25509269 38.713 1
52437 18189771 25.6123 1
47724 25770760 25.5002 1
52785 6943935 28.1709 1
52785 13913282 26.6228 1
52786 4890448 25.3659 1
52850 1656796 26.1449 1
52858 11512351 27.4397 1
52876 5687083 34.0867 1
53048 3478704 28.4041 1
