# ALICE_13TeV  sqrt(s)=13000 GeV  obs=d2sigma_dET_deta_per_eta  units=nb/GeV  deta=1.34  iso=True
# xT, Y=(sqrt_s)^4.5*Ed3sigma/dp3, Y_lo, Y_hi
1.153846e-03,1.328112e+22,8.560953e+21,1.800129e+22
1.307692e-03,7.053498e+21,5.486107e+21,8.620890e+21
1.461538e-03,4.135282e+21,3.490412e+21,4.780151e+21
1.615385e-03,2.551077e+21,2.202115e+21,2.900040e+21
1.769231e-03,1.672876e+21,1.462166e+21,1.883585e+21
2.000000e-03,9.922289e+20,8.751510e+20,1.109307e+21
2.307692e-03,5.203540e+20,4.706351e+20,5.700730e+20
2.615385e-03,2.958500e+20,2.678266e+20,3.238734e+20
2.923077e-03,1.758827e+20,1.591713e+20,1.925942e+20
3.461538e-03,8.270612e+19,7.464149e+19,9.077075e+19
4.230769e-03,2.959855e+19,2.667678e+19,3.252033e+19
5.000000e-03,1.264398e+19,1.125038e+19,1.403758e+19
5.769231e-03,6.033757e+18,5.362575e+18,6.704939e+18
6.538462e-03,3.203952e+18,2.835886e+18,3.572018e+18
7.307692e-03,1.743606e+18,1.541350e+18,1.945862e+18
8.461538e-03,8.479641e+17,7.489557e+17,9.469725e+17
1.076923e-02,2.428220e+17,2.140265e+17,2.716175e+17
1.384615e-02,5.548024e+16,4.828024e+16,6.268025e+16
1.692308e-02,1.818648e+16,1.547365e+16,2.089930e+16
2.153846e-02,5.485263e+15,4.613449e+15,6.357077e+15
2.769231e-02,1.365728e+15,1.074860e+15,1.656595e+15
