# ATLAS_8TeV  sqrt(s)=8000 GeV  obs=dsigma_dET_eta_integrated  units=pb/GeV  deta=1.2  iso=True
# xT, Y=(sqrt_s)^4.5*Ed3sigma/dp3, Y_lo, Y_hi
7.500000e-03,1.668245e+18,1.487162e+18,1.849328e+18
1.000000e-02,3.656372e+17,3.367375e+17,3.945368e+17
1.250000e-02,1.117562e+17,1.055337e+17,1.179787e+17
1.500000e-02,4.073433e+16,3.891627e+16,4.255239e+16
1.750000e-02,1.763110e+16,1.697259e+16,1.828962e+16
2.000000e-02,8.320979e+15,8.056232e+15,8.585725e+15
2.375000e-02,3.258064e+15,3.173401e+15,3.342728e+15
2.875000e-02,1.073198e+15,1.048201e+15,1.098194e+15
3.437500e-02,3.851835e+14,3.772817e+14,3.930853e+14
4.062500e-02,1.447224e+14,1.412611e+14,1.481838e+14
4.687500e-02,6.063989e+13,5.931851e+13,6.196128e+13
5.625000e-02,2.124988e+13,2.071607e+13,2.178368e+13
6.875000e-02,6.042786e+12,5.876098e+12,6.209475e+12
8.125000e-02,2.108044e+12,2.042875e+12,2.173212e+12
9.375000e-02,8.499951e+11,8.228776e+11,8.771126e+11
1.087500e-01,3.172290e+11,3.068704e+11,3.275877e+11
1.275000e-01,1.076594e+11,1.031907e+11,1.121282e+11
1.500000e-01,3.279802e+10,3.115824e+10,3.443779e+10
1.750000e-01,9.648517e+09,8.933859e+09,1.036318e+10
2.062500e-01,2.567890e+09,2.304694e+09,2.831085e+09
2.500000e-01,4.543133e+08,3.694189e+08,5.392076e+08
3.250000e-01,2.287452e+07,8.631114e+06,3.711792e+07
