# CDF_1800  sqrt(s)=1800 GeV  obs=d2sigma_dET_deta_per_eta  units=pb/(GeV/c)  deta=1  iso=True
# xT, Y=(sqrt_s)^4.5*Ed3sigma/dp3, Y_lo, Y_hi
1.366667e-02,2.570255e+16,2.094591e+16,3.045918e+16
1.888889e-02,5.420519e+15,4.751331e+15,6.089706e+15
2.111111e-02,3.003231e+15,2.663773e+15,3.342689e+15
2.333333e-02,1.545940e+15,1.383146e+15,1.708734e+15
2.555556e-02,9.492253e+14,8.476803e+14,1.050770e+15
2.777778e-02,6.407887e+14,5.710368e+14,7.105405e+14
3.000000e-02,4.279275e+14,3.802736e+14,4.755815e+14
3.222222e-02,2.590922e+14,2.287430e+14,2.894414e+14
3.444444e-02,1.753800e+14,1.551664e+14,1.955936e+14
3.766667e-02,1.122848e+14,1.001393e+14,1.244303e+14
4.211111e-02,5.779173e+13,5.087094e+13,6.471251e+13
4.655556e-02,3.468057e+13,3.014218e+13,3.921896e+13
5.433333e-02,1.103119e+13,9.471141e+12,1.259123e+13
6.933333e-02,3.510107e+12,3.008714e+12,4.011499e+12
8.977778e-02,7.991962e+11,6.388065e+11,9.595860e+11
1.274444e-01,1.007327e+11,7.303507e+10,1.284304e+11
