# CMS_7TeV  sqrt(s)=7000 GeV  obs=dsigma_dET_eta_integrated  units=pb/GeV  deta=2.9  iso=True
# xT, Y=(sqrt_s)^4.5*Ed3sigma/dp3, Y_lo, Y_hi
6.285714e-03,3.153540e+18,2.647094e+18,3.659987e+18
7.000000e-03,1.813886e+18,1.522493e+18,2.105279e+18
8.000000e-03,8.837801e+17,7.419151e+17,1.025645e+18
9.285714e-03,3.954613e+17,3.319128e+17,4.590098e+17
1.071429e-02,1.781871e+17,1.494739e+17,2.069003e+17
1.214286e-02,9.358209e+16,7.846153e+16,1.087027e+17
1.357143e-02,4.980804e+16,4.171437e+16,5.790170e+16
1.571429e-02,2.342630e+16,1.963328e+16,2.721931e+16
2.071429e-02,5.450568e+15,4.564924e+15,6.336212e+15
2.928571e-02,7.579555e+14,6.454338e+14,8.704772e+14
6.000000e-02,2.862199e+13,2.440750e+13,3.283649e+13
