# D0_1800  sqrt(s)=1800 GeV  obs=d2sigma_dET_deta_per_eta  units=pb/GeV  deta=1  iso=True
# xT, Y=(sqrt_s)^4.5*Ed3sigma/dp3, Y_lo, Y_hi
1.166667e-02,9.586177e+16,6.033855e+16,1.313850e+17
1.500000e-02,2.105509e+16,1.573296e+16,2.637721e+16
1.833333e-02,5.541817e+15,4.420533e+15,6.663101e+15
2.166667e-02,2.402776e+15,1.989065e+15,2.816487e+15
2.500000e-02,9.923719e+14,8.636679e+14,1.121076e+15
2.833333e-02,4.364212e+14,3.753932e+14,4.974493e+14
3.166667e-02,2.611505e+14,2.238433e+14,2.984577e+14
3.500000e-02,1.437927e+14,1.216060e+14,1.659793e+14
4.155556e-02,5.325754e+13,4.856886e+13,5.794622e+13
4.500000e-02,3.447923e+13,3.137785e+13,3.758062e+13
4.833333e-02,2.313905e+13,2.107786e+13,2.520023e+13
5.166667e-02,1.692063e+13,1.527882e+13,1.856243e+13
5.500000e-02,1.111227e+13,1.005512e+13,1.216943e+13
5.833333e-02,7.871467e+12,7.097738e+12,8.645195e+12
6.166667e-02,6.028308e+12,5.425861e+12,6.630754e+12
6.500000e-02,3.998568e+12,3.567098e+12,4.430037e+12
6.833333e-02,3.434690e+12,3.049480e+12,3.819900e+12
7.300000e-02,2.341212e+12,2.092831e+12,2.589593e+12
8.000000e-02,1.368449e+12,1.214666e+12,1.522232e+12
8.666667e-02,7.997136e+11,6.968985e+11,9.025287e+11
9.455556e-02,5.580738e+11,4.873960e+11,6.287516e+11
1.048889e-01,2.102483e+11,1.766676e+11,2.438289e+11
1.204444e-01,7.192996e+10,5.730811e+10,8.655180e+10
