# PHENIX_200GeV  sqrt(s)=200 GeV  obs=invariant_Ed3sigma_dp3  units=pb/GeV^2  deta=1  iso=False
# xT, Y=(sqrt_s)^4.5*Ed3sigma/dp3, Y_lo, Y_hi
5.250000e-02,2.579526e+13,1.495750e+13,3.663301e+13
5.750000e-02,1.387061e+13,8.851111e+12,1.889010e+13
6.250000e-02,7.874341e+12,5.570976e+12,1.017771e+13
6.750000e-02,5.226933e+12,3.801943e+12,6.651924e+12
7.250000e-02,3.077329e+12,2.355679e+12,3.798978e+12
7.750000e-02,2.102087e+12,1.649710e+12,2.554465e+12
8.250000e-02,1.516037e+12,1.204198e+12,1.827876e+12
8.750000e-02,1.092904e+12,8.779141e+11,1.307894e+12
9.250000e-02,7.263401e+11,5.818394e+11,8.708407e+11
9.750000e-02,4.615993e+11,3.720165e+11,5.511822e+11
1.100000e-01,2.219750e+11,1.829938e+11,2.609561e+11
1.300000e-01,6.720343e+10,5.563584e+10,7.877102e+10
1.500000e-01,2.398506e+10,1.955891e+10,2.841121e+10
1.700000e-01,7.648067e+09,5.899208e+09,9.396926e+09
1.900000e-01,3.914543e+09,2.927464e+09,4.901623e+09
2.100000e-01,1.995738e+09,1.423697e+09,2.567779e+09
2.300000e-01,9.548770e+08,5.857137e+08,1.324040e+09
2.500000e-01,6.494069e+08,3.697937e+08,9.290201e+08
