# PHENIX_200GeV_isolated  sqrt(s)=200 GeV  obs=invariant_Ed3sigma_dp3  units=pb/GeV^2  deta=1  iso=True
# xT, Y=(sqrt_s)^4.5*Ed3sigma/dp3, Y_lo, Y_hi
5.250000e-02,1.697328e+13,9.842034e+12,2.410452e+13
5.750000e-02,9.570719e+12,6.107267e+12,1.303417e+13
6.250000e-02,6.015997e+12,4.256225e+12,7.775768e+12
6.750000e-02,3.815661e+12,2.775418e+12,4.855904e+12
7.250000e-02,2.440322e+12,1.868054e+12,3.012590e+12
7.750000e-02,1.708997e+12,1.341214e+12,2.076780e+12
8.250000e-02,1.137028e+12,9.031487e+11,1.370907e+12
8.750000e-02,8.109349e+11,6.514123e+11,9.704576e+11
9.250000e-02,5.854301e+11,4.689626e+11,7.018976e+11
9.750000e-02,4.205170e+11,3.389070e+11,5.021269e+11
1.100000e-01,1.915644e+11,1.579237e+11,2.252051e+11
1.300000e-01,6.350724e+10,5.257587e+10,7.443861e+10
1.500000e-01,2.197032e+10,1.791597e+10,2.602467e+10
1.700000e-01,8.275208e+09,6.382943e+09,1.016747e+10
1.900000e-01,3.981090e+09,2.977231e+09,4.984950e+09
2.100000e-01,1.945845e+09,1.388105e+09,2.503585e+09
2.300000e-01,1.063733e+09,6.524850e+08,1.474981e+09
2.500000e-01,5.903108e+08,3.361424e+08,8.444792e+08
