# PPG12_200GeV  sqrt(s)=200 GeV  obs=dsigma_dET_eta_integrated  units=pb/GeV  deta=1.4  iso=True
# xT, Y=(sqrt_s)^4.5*Ed3sigma/dp3, Y_lo, Y_hi
1.300000e-01,5.519663e+10,4.631571e+10,6.473806e+10
1.500000e-01,2.176534e+10,1.859985e+10,2.525400e+10
1.700000e-01,8.842861e+09,7.555533e+09,1.027614e+10
1.900000e-01,3.720756e+09,3.106926e+09,4.391687e+09
2.100000e-01,1.628686e+09,1.365755e+09,1.918813e+09
2.300000e-01,8.123380e+08,6.588101e+08,9.732546e+08
2.500000e-01,3.796967e+08,2.996260e+08,4.642474e+08
2.700000e-01,1.691404e+08,1.308166e+08,2.101357e+08
3.000000e-01,6.393608e+07,4.790701e+07,8.066892e+07
3.400000e-01,2.135957e+07,1.240769e+07,3.050623e+07
