# UA1_630  sqrt(s)=630 GeV  obs=invariant_Ed3sigma_dp3  units=pb/GeV^2  deta=1  iso=True
# xT, Y=(sqrt_s)^4.5*Ed3sigma/dp3, Y_lo, Y_hi
5.396825e-02,2.538443e+13,2.041548e+13,3.035339e+13
6.031746e-02,1.304807e+13,1.061293e+13,1.548321e+13
6.666667e-02,6.089101e+12,4.913504e+12,7.264699e+12
7.301587e-02,2.925932e+12,2.475111e+12,3.376753e+12
7.936508e-02,1.976981e+12,1.668167e+12,2.285795e+12
8.571429e-02,1.506459e+12,1.267482e+12,1.745437e+12
9.206349e-02,9.726746e+11,8.024704e+11,1.142879e+12
1.000000e-01,4.863373e+11,3.943705e+11,5.783041e+11
1.095238e-01,2.214219e+11,1.638513e+11,2.789924e+11
1.190476e-01,2.016521e+11,1.488996e+11,2.544045e+11
1.285714e-01,1.186189e+11,7.829620e+10,1.589415e+11
1.460317e-01,4.388898e+10,2.996003e+10,5.781793e+10
1.746032e-01,1.542045e+10,8.292345e+09,2.254856e+10
2.063492e-01,1.462966e+10,8.303320e+09,2.095600e+10
2.380952e-01,5.140150e+09,1.581585e+09,8.698716e+09
