# ALICE 13 TeV isolated photon (ALICE:2024kgy, arXiv:2407.01165, HEPData ins2803487)
# Observable: d2sigma/(dpT deta) [nb/GeV/c], |eta|<0.67, iso R=0.4 charged-only pT^iso<1.5 GeV/c
# columns: pT_ctr, val_nb, stat, stat, syst
7.500, 1.9219e+02, 5.517, 5.517, 68.082
8.500, 1.1568e+02, 3.437, 3.437, 25.475
9.500, 7.5799e+01, 2.3172, 2.3172, 11.591
10.500, 5.1683e+01, 1.6574, 1.6574, 6.8727
11.500, 3.7119e+01, 1.2248, 1.2248, 4.5121
13.000, 2.4888e+01, 0.32335, 0.32335, 2.9188
15.000, 1.5060e+01, 0.13826, 0.13826, 1.4323
17.000, 9.7041e+00, 0.092419, 0.092419, 0.91453
19.000, 6.4478e+00, 0.066825, 0.066825, 0.60898
22.500, 3.5905e+00, 0.027955, 0.027955, 0.34899
27.500, 1.5705e+00, 0.017222, 0.017222, 0.15407
32.500, 7.9287e-01, 0.011883, 0.011883, 0.086577
37.500, 4.3657e-01, 0.0084573, 0.0084573, 0.047821
42.500, 2.6273e-01, 0.00632, 0.00632, 0.029513
47.500, 1.5980e-01, 0.0048198, 0.0048198, 0.017899
55.000, 8.9986e-02, 0.0024878, 0.0024878, 0.010208
70.000, 3.2796e-02, 0.0010238, 0.0010238, 0.003752
90.000, 9.6342e-03, 0.00053551, 0.00053551, 0.0011298
110.000, 3.8599e-03, 0.00033333, 0.00033333, 0.00046947
140.000, 1.4817e-03, 0.00014373, 0.00014373, 0.00018655
180.000, 4.7432e-04, 8.0538e-05, 8.0538e-05, 6.0979e-05
