# PHENIX inclusive-direct photon, p+p sqrt(s)=200 GeV, |eta|<0.25, NO isolation
# Source: PHENIX PRD86 (2012) 072008 = arXiv:1205.5533, appendix table (= HEPData ins1115828 Figure 10)
# Observable: invariant cross section E d^3 sigma/dp^3 [pb * GeV^-2 * c^3] vs pT [GeV/c]
# columns: pT_ctr, Ed3sigma, stat_minus, stat_plus, syst
5.25, 1.14e+03, 3.04e+01, 3.04e+01, 4.78e+02
5.75, 6.13e+02, 1.92e+01, 1.92e+01, 2.21e+02
6.25, 3.48e+02, 1.27e+01, 1.27e+01, 1.01e+02
6.75, 2.31e+02, 8.50e+00, 8.50e+00, 6.24e+01
7.25, 1.36e+02, 6.12e+00, 6.12e+00, 3.13e+01
7.75, 9.29e+01, 4.41e+00, 4.41e+00, 1.95e+01
8.25, 6.70e+01, 3.22e+00, 3.22e+00, 1.34e+01
8.75, 4.83e+01, 2.45e+00, 2.45e+00, 9.18e+00
9.25, 3.21e+01, 1.89e+00, 1.89e+00, 6.10e+00
9.75, 2.04e+01, 1.46e+00, 1.46e+00, 3.68e+00
11.00, 9.81e+00, 4.23e-01, 4.23e-01, 1.67e+00
13.00, 2.97e+00, 1.89e-01, 1.89e-01, 4.75e-01
15.00, 1.06e+00, 9.85e-02, 9.85e-02, 1.69e-01
17.00, 3.38e-01, 5.51e-02, 5.51e-02, 5.42e-02
19.00, 1.73e-01, 3.37e-02, 3.37e-02, 2.77e-02
21.00, 8.82e-02, 2.06e-02, 2.01e-02, 1.50e-02
23.00, 4.22e-02, 1.52e-02, 1.41e-02, 7.18e-03
25.00, 2.87e-02, 1.41e-02, 9.07e-03, 4.30e-03
