# PHENIX ratio of isolated/inclusive-direct photon, p+p sqrt(s)=200 GeV
# Source: PHENIX PRD86 (2012) 072008 = arXiv:1205.5533, Fig 13a table (= HEPData ins1115828 Figure 13a)
# Use to convert PHENIX inclusive-direct -> isolated-direct (matches PPG12 isolation) if desired
# columns: pT_ctr, ratio, stat, syst_plus, syst_minus
5.23, 0.658, 0.014, 0.217, 0.151
5.73, 0.690, 0.017, 0.193, 0.145
6.23, 0.764, 0.022, 0.176, 0.130
6.73, 0.730, 0.021, 0.124, 0.102
7.23, 0.793, 0.027, 0.127, 0.103
7.73, 0.813, 0.029, 0.106, 0.089
8.23, 0.750, 0.028, 0.074, 0.067
8.74, 0.742, 0.029, 0.059, 0.052
9.24, 0.806, 0.035, 0.064, 0.056
9.74, 0.911, 0.047, 0.073, 0.064
10.83, 0.863, 0.027, 0.060, 0.052
12.85, 0.945, 0.040, 0.057, 0.057
14.87, 0.916, 0.055, 0.046, 0.046
16.89, 1.082, 0.118, 0.119, 0.097
18.90, 1.017, 0.119, 0.081, 0.071
20.91, 0.975, 0.096, 0.039, 0.039
22.92, 1.114, 0.193, 0.100, 0.100
24.92, 0.909, 0.091, 0.000, 0.000
