# PHENIX 510 GeV INCLUSIVE direct photon (PRL 130, 251901; arXiv:2202.08158)
# Source: HEPData ins2033856 Table 1 (= Figure 1), inclusive column (group=0)
# Observable: Ed^3sigma/dp^3 [pb GeV^-2 c^3] vs pT [GeV/c], |eta|<0.25, NO isolation
# columns: pT_ctr, Ed3sigma, stat_minus, stat_plus, syst
6.250, 2.3220e+03, 3.6e+01, 3.6e+01, 6.2e+02
6.750, 1.3010e+03, 2.6e+01, 2.6e+01, 3.6e+02
7.250, 8.0970e+02, 1.9e+01, 1.9e+01, 2.1e+02
7.750, 5.6440e+02, 1.4e+01, 1.4e+01, 1.3e+02
8.250, 3.6480e+02, 1.1e+01, 1.1e+01, 8.4e+01
8.750, 2.5080e+02, 8.3e+00, 8.3e+00, 5.5e+01
9.250, 1.6660e+02, 6.6e+00, 6.6e+00, 3.7e+01
9.750, 1.0600e+02, 5.3e+00, 5.3e+00, 2.5e+01
11.000, 6.1080e+01, 1.8e+00, 1.8e+00, 1.5e+01
13.000, 1.7760e+01, 8.8e-01, 8.8e-01, 4.3e+00
15.000, 7.9690e+00, 2.7e-01, 2.7e-01, 1.5e+00
17.000, 2.7050e+00, 1.4e-01, 1.4e-01, 6.3e-01
19.000, 1.3110e+00, 8.4e-02, 8.4e-02, 2.8e-01
21.000, 8.0330e-01, 1.2e-01, 1.2e-01, 1.9e-01
23.000, 4.9690e-01, 7.7e-02, 7.7e-02, 9.6e-02
25.000, 2.4870e-01, 5.4e-02, 5.4e-02, 5.3e-02
27.000, 1.7360e-01, 4.1e-02, 4.1e-02, 3.3e-02
29.000, 8.6430e-02, 3.2e-02, 3.2e-02, 2.1e-02
