# PPG12 nominal isolated photon, sqrt(s)=200 GeV, |eta|<0.7, iso ET(R=0.3)<4 GeV, L=64.3718 pb^-1
# raw_dsigmadET = h_unfold_sub_result = dsigma/dET integrated over |eta|<0.7 [pb/GeV] (NOT yet /Deta)
# syst_lo/hi from syst_sum.root h_sum_low/high (absolute, same raw units)
# ET_lo,ET_hi,ET_ctr,raw_dsigmadET_pb_per_GeV,stat,syst_lo,syst_hi
8.0,10.0,9.00,2.006254e+02,1.023386e+00,7.714431e+01,7.784465e+01
10.0,12.0,11.00,5.314864e+02,2.276518e+00,1.056295e+02,1.113511e+02
12.0,14.0,13.00,2.789516e+02,1.915665e+00,4.484132e+01,4.818221e+01
14.0,16.0,15.00,1.269199e+02,1.337170e+00,1.841041e+01,2.029937e+01
16.0,18.0,17.00,5.844060e+01,9.271675e-01,8.457007e+00,9.426725e+00
18.0,20.0,19.00,2.748259e+01,6.487606e-01,4.487271e+00,4.913046e+00
20.0,22.0,21.00,1.329626e+01,4.582759e-01,2.097026e+00,2.323780e+00
22.0,24.0,23.00,7.263359e+00,3.575428e-01,1.325359e+00,1.393672e+00
24.0,26.0,25.00,3.690199e+00,2.599213e-01,7.335008e-01,7.795412e-01
26.0,28.0,27.00,1.775350e+00,1.738090e-01,3.627703e-01,3.936345e-01
28.0,32.0,30.00,7.456589e-01,1.060820e-01,1.539260e-01,1.637965e-01
32.0,36.0,34.00,2.823218e-01,7.260894e-02,9.342417e-02,9.666407e-02
36.0,45.0,40.50,3.070840e-02,1.122735e-02,1.402141e-02,1.493016e-02
